Cluster	Protein_Accession	PSM	Peptdie	Cortex1	Cortex2	Cortex3	PD1	PD2	PD3	PD4	TRK1	TRK2	TRK3
WP-C5	tr|F7B0R9|F7B0R9_MOUSE	83.00	36.00	650484.79	648196.77	663336.14	359160.29	308976.58	291201.88	403714.66	291803.12	265739.80	321503.84
WP-C5	tr|A0A087WSS1|A0A087WSS1_MOUSE	175.00	67.00	1352441.35	1344812.01	1366607.92	1072243.43	1092089.70	1087625.33	1084459.50	803865.45	812596.05	889747.07
WP-C5	tr|B8JJ69|B8JJ69_MOUSE	51.00	8.00	580244.92	534021.65	514811.70	334153.18	373625.43	278332.20	325796.50	271517.07	292432.55	307186.37
WP-C5	tr|Q3U3D8|Q3U3D8_MOUSE	20.00	9.00	152462.69	147651.59	154734.01	120029.71	122726.65	121152.38	134404.39	93916.11	94650.49	103127.39
WP-C5	tr|Q8CDJ6|Q8CDJ6_MOUSE	1.00	1.00	30906.01	29657.76	38102.76	22235.23	21971.76	18597.86	23864.52	20264.02	18170.94	19668.65
WP-C5	tr|F6YAT5|F6YAT5_MOUSE	63.00	41.00	391058.43	395813.94	400382.97	266089.57	276949.86	268315.68	277397.97	228746.74	228699.81	249204.77
WP-C5	tr|H7BX33|H7BX33_MOUSE	22.00	8.00	235221.17	223827.19	235063.63	165586.85	169094.54	172861.39	184521.39	151201.93	151387.63	165651.46
WP-C5	tr|J3QP43|J3QP43_MOUSE	21.00	2.00	241336.01	244765.65	260765.35	150919.36	134367.17	148911.10	171795.99	152510.72	118269.98	150339.08
WP-C5	tr|Q3TA40|Q3TA40_MOUSE	87.00	15.00	1932883.84	1668480.03	1956355.47	940467.64	997104.46	846524.11	1016378.32	716662.27	772149.35	883381.59
WP-C5	tr|Q0VAW6|Q0VAW6_MOUSE	17.00	7.00	541600.27	517343.32	513059.47	370459.02	395095.82	352138.50	336179.82	347935.88	336795.40	346842.59
WP-C5	tr|E9QMK9|E9QMK9_MOUSE	36.00	17.00	299989.65	282182.60	282015.87	225233.01	255013.75	195077.89	203244.23	158854.84	150435.58	193977.19
WP-C5	tr|G3X9V7|G3X9V7_MOUSE	82.00	31.00	2682448.49	2551218.11	2671334.72	1016671.93	1166561.21	1192652.94	1244147.31	864943.45	914959.02	977338.51
WP-C5	tr|B2RQF6|B2RQF6_MOUSE	7.00	6.00	130765.20	97380.85	120277.09	71212.86	85189.94	65535.20	86699.72	57874.68	57947.24	62133.63
WP-C5	sp|Q3UHJ0|AAK1_MOUSE	244.00	44.00	4489630.10	4346569.44	4441379.08	2796326.66	2712238.64	2717338.55	3024981.07	2352770.34	2371083.34	2566117.15
WP-C5	sp|Q99K67|AASS_MOUSE	43.00	28.00	267032.82	226106.62	234903.81	154909.10	159680.31	149103.16	153406.06	140683.26	130885.64	134470.28
WP-C5	sp|Q80YE4|LMTK1_MOUSE	47.00	24.00	171653.30	168656.10	175141.95	141703.56	143767.81	149729.59	141733.08	104555.71	107366.56	119103.32
WP-C5	sp|P61922|GABT_MOUSE	411.00	48.00	27797166.89	28633714.94	25162152.75	18166091.60	20668252.14	17246196.83	18888069.26	12676995.01	14481988.81	17796735.28
WP-C5	sp|Q8K448|ABCA5_MOUSE	78.00	33.00	691956.14	675459.43	669629.82	508182.84	508242.73	429991.15	414846.39	368278.09	387581.26	398352.52
WP-C5	sp|Q9JI39|ABCBA_MOUSE	38.00	17.00	247595.15	244238.60	280077.66	231515.47	234292.66	228570.38	231884.95	148489.40	157044.91	185582.11
WP-C5	sp|Q9CXJ4|ABCB8_MOUSE	51.00	24.00	420116.31	431109.87	433010.26	300376.81	320865.35	274326.31	296253.73	272415.71	257222.76	298952.46
WP-C5	sp|Q9JJ59|ABCB9_MOUSE	41.00	18.00	423106.95	429731.27	399918.41	323039.37	316000.29	305283.25	251658.30	181767.17	188348.34	254268.24
WP-C5	tr|B2RUS7|B2RUS7_MOUSE	57.00	35.00	469902.67	451827.66	442857.33	246063.88	243558.22	235671.73	256833.84	177598.40	186363.89	210789.90
WP-C5	tr|Q91WA9|Q91WA9_MOUSE	14.00	8.00	96764.20	98365.59	95687.32	70797.06	74087.07	67255.94	68965.63	56510.01	56838.62	68825.83
WP-C5	sp|Q8VCR7|ABHEB_MOUSE	19.00	8.00	207211.61	212028.28	213845.15	159189.87	187263.84	138094.00	159336.75	128174.27	136222.82	133371.87
