"Cortex1"	"Cortex2"	"Cortex3"	"PD1"	"PD2"	"PD3"	"PD4"	"TRK1"	"TRK2"	"TRK3"	"MM.turquoise"	"MM.blue"	"MM.yellow"	"MM.black"	"MM.green"	"group"
"1"	650484.79	648196.77	663336.14	359160.29	308976.58	291201.88	403714.66	291803.12	265739.8	321503.84	0.983319783480665	-0.945241537296169	-0.637805771129535	-0.278863288834376	-0.847889901840542	"turquoise"
"2"	1352441.35	1344812.01	1366607.92	1072243.43	1092089.7	1087625.33	1084459.5	803865.45	812596.05	889747.07	0.949135135908896	-0.942464360467908	-0.887666868755563	0.144393085321967	-0.562941036010145	"turquoise"
"3"	580244.92	534021.65	514811.7	334153.18	373625.43	278332.2	325796.5	271517.07	292432.55	307186.37	0.97678918510878	-0.92564789531185	-0.644337204985835	-0.23687570926266	-0.819972309335095	"turquoise"
"4"	152462.69	147651.59	154734.01	120029.71	122726.65	121152.38	134404.39	93916.11	94650.49	103127.39	0.932133048189064	-0.935613794668925	-0.892933628814036	0.139830707024781	-0.55860231157346	"turquoise"
"5"	30906.01	29657.76	38102.76	22235.23	21971.76	18597.86	23864.52	20264.02	18170.94	19668.65	0.923108620716294	-0.876358631559388	-0.610218177339107	-0.228940008070996	-0.777283682687173	"turquoise"
"6"	391058.43	395813.94	400382.97	266089.57	276949.86	268315.68	277397.97	228746.74	228699.81	249204.77	0.997905821449155	-0.959836110448604	-0.718366258746473	-0.157270860993041	-0.781832610924909	"turquoise"
"7"	235221.17	223827.19	235063.63	165586.85	169094.54	172861.39	184521.39	151201.93	151387.63	165651.46	0.988430777181097	-0.96434252852237	-0.718545500449433	-0.175421090133142	-0.786679198925199	"turquoise"
"8"	241336.01	244765.65	260765.35	150919.36	134367.17	148911.1	171795.99	152510.72	118269.98	150339.08	0.95958688677532	-0.924971296302857	-0.598438980591306	-0.299579369845688	-0.834577324094322	"turquoise"
"9"	1932883.84	1668480.03	1956355.47	940467.64	997104.46	846524.11	1016378.32	716662.27	772149.35	883381.59	0.985487841175865	-0.94196067088221	-0.655464018988305	-0.244759931804285	-0.829112953519012	"turquoise"
"10"	541600.27	517343.32	513059.47	370459.02	395095.82	352138.5	336179.82	347935.88	336795.4	346842.59	0.970241492740297	-0.901889165091386	-0.598636711605368	-0.25772738471651	-0.817858303749559	"turquoise"
"11"	299989.65	282182.6	282015.87	225233.01	255013.75	195077.89	203244.23	158854.84	150435.58	193977.19	0.923175057712387	-0.92890579803941	-0.833985395659184	0.103543147633606	-0.571689522424236	"turquoise"
"12"	2682448.49	2551218.11	2671334.72	1016671.93	1166561.21	1192652.94	1244147.31	864943.45	914959.02	977338.51	0.989932808855892	-0.932707592947776	-0.638874802974406	-0.259007010320381	-0.836803688674136	"turquoise"
"13"	130765.2	97380.85	120277.09	71212.86	85189.94	65535.2	86699.72	57874.68	57947.24	62133.63	0.933425776177047	-0.900614505267838	-0.728381562910709	-0.0895344613094694	-0.698298807759442	"turquoise"
"14"	4489630.1	4346569.44	4441379.08	2796326.66	2712238.64	2717338.55	3024981.07	2352770.34	2371083.34	2566117.15	0.995745587229993	-0.955370213591026	-0.688234171276848	-0.211494351322145	-0.813920889002212	"turquoise"
"15"	267032.82	226106.62	234903.81	154909.1	159680.31	149103.16	153406.06	140683.26	130885.64	134470.28	0.973418449059894	-0.912502421066681	-0.644930381482805	-0.217009374242454	-0.792801379787043	"turquoise"
