Kinase	PDGFRA1	PDGFRA2	PDGFRA2	PDGFRA4	NTRK1	NTRK2	NTRK3	CNTRL1	CNTRL2	CNTRL3
AAK1	2.536379217	2.921715264	2.518202847	1.668591276	3.820461885	3.516814906	2.767817739	-0.017415845	-0.0292868	0.043525781
ABL1	0.890244741	1.379451892	0.940480078	-0.165582493	0.843445302	1.0373067	0.873685112	-0.29836935	0.100668446	0.181097143
ADRBK1	0.068164071	-0.553826631	-0.133942207	-0.632953193	-0.627403866	-0.883752831	-0.346272073	-0.388641923	0.289308965	0.084181139
ADRBK2	-0.957319743	-1.610643012	-0.658147871	0.239290581	0.045891436	-0.3555997	-0.230819477	0.492310187	-0.156449715	-0.329228073
AKT1	0.454465957	0.57458282	0.468116279	0.46962075	0.736603098	0.717191253	0.405338921	0.009172505	0.085276823	-0.135005271
AKT2	2.208794404	2.412512194	2.536162637	2.255053239	2.860230383	2.169136	2.170205244	0.286883116	-0.348752117	-0.261677716
ALK	-3.493279005	-3.727913775	-4.986180378	-3.976197036	-5.517741469	-4.886830018	-4.175460759	-0.253636458	0.568963427	-0.398367483
ATM	-0.498891214	-0.781503421	-0.255475483	-0.926371283	-2.067851031	-2.326524327	-0.75654985	0.218081078	-0.208252836	-0.01223244
ATR	-0.606253685	-0.559802957	-0.587969782	-0.495155318	-1.266435573	-1.238482958	-0.72496687	0.124837303	0.23487312	-0.415566793
AURKA	1.566587204	2.79203533	1.333675575	1.930451898	-0.360851243	0.418206525	-0.281008289	0.123255083	0.328152917	-0.524317609
AURKB	-0.032578548	-0.139033483	0.12090807	-0.299289612	1.201190632	0.405078333	0.924256571	-0.036574521	-0.040016918	0.021457364
BCKDK	0.890342035	0.459385157	1.597172534	1.482170343	0.908605117	2.044031239	0.659817431	0.197758491	0.017008663	-0.227690087
BCR	0.600483679	1.027433317	1.390297375	1.129959128	2.026598378	2.575692778	1.291366832	-0.1740451	0.045393235	0.099445373
CAMK2A	1.454992894	1.80163176	2.007871957	1.053749142	2.410337403	2.468368583	1.986713643	-0.212595969	0.077493308	0.104170674
CAMK2D	0.242798176	0.262919109	0.307214636	0.462687331	0.773599661	0.701349299	0.496354992	-0.11346857	0.093128637	0.010612715
CAMK2G	3.064935991	3.630114624	2.546210791	2.227845112	3.679692227	4.914202494	3.323636397	0.273624425	0.062686038	-0.400766914
CDK1	-0.163588629	-0.106227545	-0.133223889	0.005579252	-0.178054652	-0.253535647	-0.131505956	-0.05097075	0.013518907	-0.000909185
CDK2	-0.510966242	-0.550615525	-0.424681565	-0.370684606	-0.408391877	-0.533044398	-0.360599437	0.012829763	0.042531373	-0.080488881
CDK5	1.260837441	1.520267571	1.416770018	1.234581309	1.642606642	1.792980465	1.385874051	-0.225468858	0.063470703	0.124838793
CDK9	-0.130501318	0.430717616	0.928649581	0.989229729	0.165738997	0.49622093	0.956444557	-0.846208951	0.052693847	0.581171327
CDKL5	1.855942558	2.112129945	1.453472425	1.773537193	2.603719433	2.859449591	2.724765144	-0.359757982	0.121975668	0.237712508
CHEK1	1.088619744	0.987204406	1.100353644	0.775045814	1.233657733	1.030860648	1.126617853	-0.065314758	-0.059505313	0.054108036
CHEK2	-0.363069737	0.00705814	-0.03471702	-1.3014679	-1.053913467	-2.019979375	-1.676438297	0.437929136	0.196618289	-0.639144786
