"group2...group1"	"group3...group2"	"group3...group1"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"MAPK7"	0.46252132825	-2.588859527	-2.12633819875	1.50986884355556	199.529124410627	1.15426976940171e-07	1.03884279246154e-05
"PRKDC"	-0.13063467225	4.451546801	4.32091212875	-2.910321953	126.533564807379	7.08501479009518e-07	2.13169057540156e-05
"ALK"	-0.799819490749999	4.50346521716667	3.70364572641667	-2.67451498688889	126.024265091403	7.19905518751746e-07	2.13169057540156e-05
"PRKCZ"	0.279907854	-1.81853657816667	-1.53862872416667	1.08020764244444	103.71067397963	1.55320933646637e-06	2.13169057540156e-05
"CDKL5"	0.82867245725	-2.79213063616667	-1.96345817891667	1.49309828555556	102.228019065239	1.64366806272882e-06	2.13169057540156e-05
"PRKCI"	0.797899823999998	-4.6982388875	-3.9003390635	2.74256208133333	102.002727104618	1.65798155864566e-06	2.13169057540156e-05
"PRKAA2"	1.48061544725	-3.6379398485	-2.15732440125	1.75590071644444	98.5880678666083	1.89519246687113e-06	2.13209152523002e-05
"PRKAA1"	0.2095801875	-2.01966698666667	-1.81008679916667	1.24481872311111	87.4340091152583	3.03242353751918e-06	3.03242353751918e-05
"MOS"	-0.937011438749998	6.87578876416667	5.93877732541667	-4.17956567911111	78.9973317560358	4.50259511310252e-06	4.05233560179227e-05
"PLK2"	0.73583867325	-2.47700404316667	-1.74116536991667	1.30753001977778	71.6129103621533	6.58698276117255e-06	5.38934953186845e-05
"SGK1"	0.80166221625	-2.22121614416667	-1.41955392791667	1.11700985777778	67.1156655666274	8.46067019810861e-06	5.93050348996622e-05
"INSR"	2.731783848	-6.29229181866666	-3.56050797066667	2.97691705711111	66.8998828811031	8.5662828188401e-06	5.93050348996622e-05
"MAP2K7"	0.428781682249999	-2.83925231583333	-2.41047063358333	1.70649825233333	56.2810387567238	1.66118874262456e-05	0.000106790704883007
"CDK5"	0.205438785	-1.601813712	-1.396374927	0.964183227333333	48.889322589621	2.83316044609118e-05	0.000169989626765471
"STK38"	0.9065257935	-3.309744864	-2.4032190705	1.77905911233333	46.5783200608641	3.39974202123365e-05	0.000191235488694393
"AAK1"	0.63021606725	-3.14337527716667	-2.51315920991667	1.81442853355556	42.7932997998002	4.66950351314754e-05	0.000234479338009955
"CHEK1"	0.119220658	-1.10230992883333	-0.983089270833334	0.658315648444444	42.744100478314	4.6895867601991e-05	0.000234479338009955
"CAMK2A"	0.699539724	-2.23785177533333	-1.53831205133333	1.17068397722222	40.823243630632	5.56516286860353e-05	0.000263039827499512
"EEF2K"	0.192584732999999	-2.9483850815	-2.7558003485	1.87924768466667	40.286788019111	5.84532949998915e-05	0.000263039827499512
"MELK"	-0.0415820002499996	2.92340123633333	2.88181923608333	-1.93181826922222	38.9521341405506	6.6224465238325e-05	0.000270228975670114
"PRKACA"	0.371386465	-1.03052504816667	-0.659138583166667	0.50221632	38.5131354887367	6.90585160045847e-05	0.000270228975670114
"MAPK12"	0.45453403325	-2.02092292633333	-1.56638889308333	1.13199416166667	37.0587007944502	7.9593937513191e-05	0.000298477265674466
"CAMK2G"	0.980666857749999	-4.14040492916667	-3.15973807141667	2.30293253233333	35.378478866065	9.43818788811346e-05	0.000339774763972085
"MAPK3"	0.314757112	-1.23746093783333	-0.922703825833333	0.668000085444444	34.7891677307731	0.000100367839288154	0.000347427135997458
"MAP2K1"	1.0756217835	-1.6318286035	-0.55620682	0.600893444666667	31.5940615221253	0.000142504241515671	0.000475014138385568
"ULK3"	0.56851690675	-2.03868268166667	-1.47016577491667	1.10209116533333	26.7533202546608	0.000258600298472136	0.000802552650430766
"NUAK1"	0.0126261229999998	-1.42358718366667	-1.41096106066667	0.942297915555556	25.0659642708074	0.000325466312517352	0.000976398937552055
"PRKCE"	0.444255385	-2.2540589355	-1.8098035505	1.29231369022222	24.156451972618	0.000370481881268034	0.00106831868219215
"GTF2F1"	0.22129742975	0.937163416333333	1.15846084608333	-0.724618794777778	22.7544205538441	0.000456189835905871	0.0012441540979251
"DYRK2"	0.960685072	-1.523742908	-0.563057836	0.592346057222222	21.6204922676603	0.000544207408299495	0.00142441195127859
"PRKCG"	0.8823803725	-2.5512503985	-1.668870026	1.25611350455556	20.381257892636	0.0006659832680546	0.0016649581701365
"MAPK11"	-1.684055751	2.03711674383333	0.353060992833333	-0.616569713222222	19.5482711056369	0.000767265493158786	0.0018663214698457
"PAK3"	0.39823314525	-1.84790951416667	-1.44967636891667	1.03721342944444	18.1041867197819	0.000992784157178326	0.00235133089858025
"BCR"	0.98720244475	-1.94326530233333	-0.956062857583334	0.847018062111111	16.0897064434326	0.00146481154553303	0.00338033433584545
"SRC"	0.0127070587499999	-0.8678245515	-0.85511749275	0.565177038333333	14.5578886861747	0.00202271738213792	0.00455111410981031
"UHMK1"	0.28269297775	-2.1321135965	-1.84942061875	1.28160873388889	13.8814046913275	0.00235253710819876	0.00516410584726557
"AURKB"	0.8171512335	-0.683045477	0.1341057565	0.0738073003333333	12.2643786806522	0.00345883362587854	0.00741178634116829
"MAPK13"	0.00635559424999999	-1.16989307016667	-1.16353747591667	0.768249733222222	11.9632962560202	0.00373180560754146	0.00781075592276119
"PRKCA"	0.31680704075	-0.926326262166666	-0.609519221416666	0.469223201555556	11.7354201357582	0.00395640978547247	0.00809265637937551
"PAK6"	0.771563845999999	-1.72383225933333	-0.952268413333333	0.768065841	11.2145461879818	0.00453648717825488	0.00907297435650975
"AKT1"	0.04295200025	-0.574783734666667	-0.531831734416667	0.350580730888889	11.0065326456552	0.00479750962644289	0.00938643187782304
"PRKG2"	0.10910603575	-0.740593659666667	-0.631487623916667	0.437654147333333	10.7459340009667	0.00515146700348606	0.00974127616195459
"MAP2K4"	0.156251217249999	-1.9036465725	-1.74739535525	1.19691365855556	10.7151840976134	0.00519534728637578	0.00974127616195459
"CDK2"	0.0488985570000001	0.4384460025	0.4873445595	-0.322405942	10.0924958469401	0.00619302131277491	0.0111474383629948
"FYN"	0.60085779175	-1.6881044275	-1.08724663575	0.846820136222222	9.68844568758642	0.00696976452410109	0.012299584454296
"ATR"	-0.42647118475	0.963106124	0.53663493925	-0.471146790555556	9.21116209667519	0.00805025864892297	0.0139331399692898
"CHEK2"	-1.43560349675	1.84667638233333	0.411072885583333	-0.594604043333333	8.9457150281178	0.00874179071384056	0.0148445502687859
"CAMK2D"	0.29102121425	-0.6020945515	-0.31107333725	0.268811199777778	8.64367592212847	0.00962104467134917	0.0160350744522486
"GSK3A"	0.8370100445	-0.948383244166667	-0.111373199666667	0.220807571222222	8.51425457570372	0.0100313627432478	0.0164149572162236
"ATM"	-0.794469753749999	1.54073568916667	0.746265935416667	-0.674860857111111	7.58334508642228	0.0137273511839171	0.0216747650272374
"MAPKAPK2"	0.21092109325	-0.856614022166667	-0.645692928916667	0.471985395	7.02312741269767	0.0167844951590373	0.0260449062812648
"PAK1"	0.30160247975	-0.515644769166667	-0.214042289416667	0.187743990222222	6.39210138021213	0.0213158400059508	0.0319737600089261
"TRPM7"	0.210955550249999	-1.6035979905	-1.39264244025	0.976389289666667	5.97592918547129	0.02515563902037	0.0371148772431688
"SMG1"	-0.68686463775	0.771221410333333	0.0843567725833333	-0.210559387222222	5.86452322626061	0.0263266913232392	0.0382161648240569
"BCKDK"	0.529103662	-1.35623197933333	-0.827128317333333	0.664689825444444	5.16630279182499	0.0354422705885977	0.0506318151265681
"RPS6KB1"	-0.95078244775	0.0104745351666666	-0.940307912583333	0.386053544	4.88671294126422	0.0401773624248388	0.0564994159099296
"CSNK1D"	0.61730842925	1.03998985083333	1.65729828008333	-0.981757466777778	4.55483054953053	0.0468677046031734	0.0648937448351632
