GN	Protein Accession #	sig126	sig127N	sig127C	sig128N	sig128C	sig129N	sig129C	sig130N	sig130C	sig131
NA	cu|GFP|GFP	184937.460668942	198297.818926456	220892.517295509	245518.399188546	64065.4877784058	61060.9719285773	62682.0670262288	60277.6500875685	63468.3860639291	64743.6413859551
NA	cu|mCherry|mCherry	87319.4509814699	88357.8449860552	87051.4297629445	84120.8271488851	378856.173464933	390370.110892407	196009.711640798	72817.4541740065	79488.7606574948	79002.3828676559
NA	cu|PDGFRA_D842V|PDGFRA_D842V	736186.082386679	729114.577880805	790444.28068387	773113.290993063	546320.892144234	569950.623646752	443508.845903422	288475.343549319	301463.806601097	296092.080070773
NA	cu|TMP3_NTRK1|TMP3_NTRK1	46623691.9189245	45476821.72244	45228712.5610826	45960932.1450794	55797995.1848792	51875454.710301	47378259.1020226	47276250.6966287	48742744.5262814	50171601.774358
Actg1	sp|P63260|ACTG_MOUSE	193955462.913672	192590488.669659	193816837.851156	207979298.103484	201189938.061912	189706901.038935	198697414.703159	199377432.176114	196054112.944992	201036682.960238
Gapdh	sp|P16858|G3P_MOUSE	77075554.1566502	77086557.526866	74131721.4190179	79010287.6057666	70482027.1305319	70114518.8388645	78660194.2218603	97777821.6968997	93034199.5865611	98268893.8013284
Gapdh	tr|S4R257|S4R257_MOUSE	77449298.9958481	76290884.2966693	74852763.6424627	78218017.6402835	70914283.4667781	70535719.8791617	80199747.7540843	96306100.3284899	93368336.4630585	96456805.321146
Gapdh	tr|S4R1W8|S4R1W8_MOUSE	77493639.7032103	74529521.7401005	77582558.6113662	74884950.1015149	69214913.3088136	65854015.3666707	79730465.9080575	100729828.390829	96030833.4543204	97591239.0982492
Gm3839	tr|S4R1W1|S4R1W1_MOUSE	77143247.2419298	77190107.7942553	74121482.5891295	78994565.2782041	70547546.207584	70164964.2541058	78644708.7423592	97613116.2490779	92976092.9441626	98237588.8517312
Hist1h4a	sp|P62806|H4_MOUSE	31273636.9283925	32126358.2368445	28015156.7950987	31701377.5247368	38054558.5865678	52572286.6632437	32329235.3596985	19013651.6550059	17963790.2063634	19579586.7053624
Mbp	sp|P04370|MBP_MOUSE	68500527.6637048	47379555.9393198	50892416.0178997	35845253.8338077	22009316.7710379	22571136.8085362	31192713.1992247	40168762.3007464	45425461.0878253	40321377.6330248
Mbp	sp|P04370-10|MBP_MOUSE	85594897.8661401	58231133.9623646	63452001.3546626	44605143.8334453	27338793.7038967	27643692.4696417	38642890.0837023	49228261.1872323	55497562.825265	49582718.093535
Mbp	sp|P04370-11|MBP_MOUSE	69037828.2743468	47506554.9674271	50814277.2540025	35715363.8711971	22057532.9687637	22541155.5391906	31171734.4944084	40066946.9026572	45405078.8747754	40264010.4949595
Mbp	tr|F6RT34|F6RT34_MOUSE	85964531.9224742	58398000.6868546	63529755.9067116	44525854.5415905	27291081.2934433	27550810.7877755	38545780.1237649	49171457.1064811	55606956.6725061	49610634.1387305
Mbp	tr|F7A0B0|F7A0B0_MOUSE	85404841.777414	58849436.5623001	63220966.0170622	44236504.3220839	27114812.412197	27699309.3102698	38529088.8545921	49305936.7827789	56050439.3769276	49587489.8734167
