
ClusterName	GeneSetName	GeneSet#	ModGene#	Hit#	GeneSet	FoldEnrichment	Pval	BH
Cluster_5	TF_TG_PROXIMAL_FILTERED_E2F4	246	2825	131	GTSE1,SLBP,CDCA3,CDCA5,CDCA8,NCAPG2,INCENP,CENPA,CENPW,ATAD5,ATAD2,RIF1,NEK2,CDC25C,CDC25A,BLM,SHC1,SDF2L1,NDC80,AP4M1,EXO1,TRIM59,CDC45,CRKL,FBXO5,GBA,TACC3,BUB1B,GEN1,SYCE2,UBE2C,UBE2S,UBE2T,SLC3A2,POLD1,RRM1,RRM2,DDX11,DEPDC1B,PLK4,PLK1,CEP57,ASH2L,PBK,TK1,CEP55,KIFC1,OIP5,HMGN2,FANCI,FANCB,MCM7,RFC4,CCDC34,TFDP1,MCM3,MCM4,DNAJC9,HAUS8,CEP152,RPS13,ESCO2,C14ORF80,GSG2,RAB8A,TUBB,GINS2,FANCD2,TIMELESS,CLSPN,CASP2,H2AFX,RBL1,BUB1,DEK,MDC1,NCAPG,NCAPH,EZH2,RECQL4,TROAP,FOXM1,BIRC5,DTL,PRC1,RCC1,KIF20A,DSN1,ERI2,XRCC2,ANLN,INTS7,KIF14,KIF15,KIF24,KIF23,KIF2C,SPC24,MAD2L1,SPC25,KIF4A,PHF19,HMGB2,AURKB,RTTN,ASF1B,SKA1,CDC7,CDC6,RAD18,NUF2,TCF19,TRAIP,CDK1,PTBP1,ASPM,SPAG5,RAD51,SKP2,CDT1,FEN1,CCHCR1,RAD54L,RANBP1,TRIP13,DSCC1,NUSAP1,STIL,KIF18B,CKS1B,ITGB3BP	3.1659040218720773	1.7794568391042372E-39	2.04637536496987e-37
Cluster_5	TF_TG_PROXIMAL_FILTERED_TAF1	488	2825	155	FNBP4,ATF3,ATF4,TIPARP,MED18,RMI1,MED22,CNPY4,ATAD2,BRIX1,SDF2L1,RNASET2,TMBIM6,HNRNPA1,HNRNPA0,EIF3D,EIF3A,CRKL,TRIM24,TRIM25,TRIB1,PCK2,MRPS10,PTMA,PCNA,HNRNPA2B1,PEBP1,UBE2S,ETV5,EEF1G,SLC3A2,TRA2B,TRA2A,RALY,HNRNPK,BTG1,WDR43,RPS15A,PPP1R8,NR1H3,RPL10A,SNRPG,MCL1,RPL13A,DNAJC9,NSL1,HAUS8,CTH,RPS15,RPS16,RPL18A,RPS18,RPS11,RPS10,SCFD1,RPS27,RPS24,XPO1,TOP3B,TUBB,TOPORS,NOL7,CAPZA1,ZWILCH,PMF1,FAM83D,RPS4X,H2AFX,RPS3A,THBS1,MDC1,MRPL12,EIF5,RPLP1,RPLP0,CKS2,STAT1,SOCS1,SLC38A2,EEF2,EIF4A3,JMJD1C,TM4SF1,ERI2,SNX5,CCT5,CD74,NPM1,STK17B,PHF19,HMGB2,HMGB1,AFF1,HS3ST3B1,NUP54,TAF1D,MAT2A,RPL4,RPL5,RPL31,RPL8,RPL9,RPL6,RPL7,RPL36,RPL35,RPL38,RPL37,RPL23,RPL24,RPL26,RPL28,PRDX1,ZNF143,ADM,SF3B3,RPL10,RPL12,RPL11,RPS3,RPL13,RPL15,RPL18,RPL17,RPS7,RPS8,RPS5,GPT2,RPS6,RPSA,NCL,MPDU1,EIF4G2,RPL7A,RPL37A,RPL35A,PNRC2,METAP2,B2M,GADD45A,ANP32E,CLIC1,PRMT5,RANBP1,CTNNB1,KNTC1,PDIA3,RPL7L1,HSPA5,NFKBIA,MAVS,POLH,FAM60A,HSPD1,HSPE1	1.8883106049615552	2.4291929123573857E-16	1.3967859246055e-14
Cluster_5	TF_TG_PROXIMAL_FILTERED_STAT2	73	2825	41	ZC3HAV1,PLSCR1,LY6E,SDF2L1,CRKL,TRIM25,TRIM21,HERC6,BST2,PML,IFITM1,IFITM2,IFIT1,PARP9,PNPT1,OAS1,STAT1,STAT2,PSMB9,UBE2L6,IFI35,DHX58,RSAD2,LAP3,DDX60,ISG15,DDX58,IRF1,IRF7,IRF9,EARS2,BATF2,TAP1,DTX3L,SP110,NMI,PARP14,PARP10,TMEM140,CMPK2,USP18	3.33904715723118	2.5265751231149858E-14	9.68520463860745e-13
Cluster_5	TF_TG_PROXIMAL_FILTERED_MYC	560	2825	163	MTHFD2,ATF4,SET,ATIC,ODC1,NRAS,APEX1,CENPL,CENPP,G3BP1,BRIX1,NEK8,NOP14,SDF2L1,BCAS1,RABGGTB,HNRNPA1,NOP58,MID1IP1,EIF3E,EIF3B,LTV1,ICAM2,PPAN,ICAM1,CRKL,SNRPD1,CCDC86,BRIP1,PCK2,APRT,TLCD1,AHCY,EEF1B2,IL4R,POLG2,EMID1,YARS,TGIF2,CAD,EEF1D,SLC3A2,POLE3,RNH1,GTPBP4,NUP205,HNRNPK,HNRNPF,WDR43,GNL3,GART,RPS15A,RRP1B,RPL10A,IPO7,GTF3A,SNRPE,DNAJC2,POLR1C,PECAM1,VARS,RPS18,RPS11,METTL1,SCFD2,RPS25,RPS24,NOL7,XPOT,YBX1,RBM3,RASA3,THBS2,PREX1,PMM2,RPLP0,RPLP2,RPS27A,SLC16A1,ZNF217,FTSJ3,SBNO2,SRD5A1,NFE2L2,RNFT1,EIF4A1,IMP3,LARS,TSPAN4,SNX8,SNX5,PAICS,FKBP10,CTSC,CCT3,CCT2,HEATR1,EXOSC5,CCT5,NPM1,DCLRE1B,SLC1A5,BMP7,PHF19,DDX21,TAF1D,MAT2A,DDX31,NUP35,RPL5,RPL32,SERPINE1,RPL8,RPL9,RPL35,RPL37,EARS2,RPL21,RPL23,RPL22,RPL27,UBA52,GSDMD,TRIP6,PFAS,RPL10,RPL12,RPL14,RPL13,RPL15,RPL18,SULF2,TM9SF1,RPS8,RPS5,RPS6,RPSA,NCL,NHP2,DNMT1,TARS,CDK4,IARS,PTBP1,PWP1,GRWD1,ANP32B,PRMT5,NME2,RAD51C,RANBP1,RSL1D1,TRIP13,RPL7L1,ZFP36L2,ALDH3B1,HSPA9,NFKBIA,URB2,GMPR2,HSPD1,HSPE1,SSBP1	1.7304582806573956	2.2417868079679298E-13	6.4451370729078e-12
Cluster_5	TF_TG_PROXIMAL_FILTERED_E2F1	432	2825	129	CXADR,ORAI1,ATF3,SLBP,SET,CDCA4,SHMT1,EIF2AK2,ZNF496,SLC7A1,ATAD2,CENPL,RIF1,MSH6,BLM,TXNDC5,ITGB1,UHRF1,HNRNPAB,BRIP1,POLA1,DHRS13,APRT,PTMA,CRTAP,NUP155,UBE2T,GNB4,TNFAIP8,LMNB1,MYBL2,CAD,SLC3A2,RRM2,GALE,SMC4,WDR76,BTG3,CDKN1B,TEAD1,USP1,CDKN2C,RRP1B,TMEM179B,TM7SF3,IPO7,OIP5,SLC39A1,SUPT16H,FANCA,SYNE2,LBR,RFC4,HAUS2,TFDP1,MCM3,MCM4,DNAJC9,MCM2,DAG1,UHRF1BP1,VAV2,TYMS,XPOT,CBX3,BMPR1A,MAPK1IP1L,H2AFY,DCK,DEK,MDC1,EZH2,PIGX,ARF6,SLC16A1,SMCHD1,LRRC58,SOCS3,CDCA7L,DBF4,DTL,RNFT1,TIFA,SLC25A25,SLC25A24,MBOAT1,PRC1,TMPO,SNX5,INTS7,VKORC1,NPM1,RPA1,DCLRE1B,CD83,CCND3,CCNE2,BMP7,CHD7,MAT2A,GOLPH3,PRR11,ASF1B,SKA2,RDX,OGG1,TCF19,PAWR,SSFA2,SULF2,ITPR3,CDK1,SFT2D2,RBBP4,RBBP8,SKP2,AFG3L2,CDT1,FEN1,PRMT3,RAD51C,TRIP13,DSCC1,CHCHD3,NUSAP1,ZFP36L2,POLE,POLH,MUTYH	1.7752826941986233	1.0157732965662948E-11	2.33627858210248e-10
Cluster_5	TF_TG_PROXIMAL_FILTERED_STAT1	175	2825	67	NUP107,ZC3HAV1,AIF1L,PLSCR1,PLSCR4,MITD1,LY6E,RAP1A,BRIX1,BMF,SDF2L1,TNFRSF1A,ICAM1,CRKL,TRIM21,HERC6,BST2,NUCB1,CSF1,LAMP1,NLRC5,PML,IFITM1,IFITM2,IFIT1,TOP3B,PARP9,HELB,NUPR1,PMF1,PNPT1,CASP7,AIM2,OAS1,FAM167B,STAT1,STAT2,STAT3,PSMB8,PSMB9,SOCS3,SBNO2,UBE2L6,DHX58,RSAD2,LAP3,DDX60,ISG15,LGALS3BP,DDX58,IRF1,IRF9,RPL28,GSDMD,CDC7,BATF2,TAP1,RHOBTB3,TARS,DTX3L,BAK1,SEMA4B,NMI,RANBP1,TMEM140,CMPK2,USP18	2.276136536030341	1.3500965166821936E-11	2.58768499030754e-10
Cluster_5	TF_TG_PROXIMAL_FILTERED_NFKB1	132	2825	53	MITD1,MAP3K8,HSP90B1,BMF,NEK8,CIITA,LCP1,ACTB,ICAM1,TLCD1,PTMA,LPXN,TNFAIP3,TAPBP,CRYZ,IFIH1,SLC35B2,C17ORF49,HLA-B,PMF1,FCHSD2,AIM2,TAPBPL,STAT1,PSMB8,PSMB9,NCF2,NFKB1,NFKB2,BIRC3,TIFA,PTPN6,CD74,CD86,CD83,IRF1,IRF5,BCL2A1,MAML2,TANK,NDE1,LAPTM5,TAP1,LSP1,TRAF4,CFLAR,B2M,PFN1,ANP32E,ZFP36L1,NFKBIA,NFKBIE,NFKBIZ	2.387060874229016	1.7610223129568284E-10	2.89310808557193e-09
Cluster_5	TF_TG_PROXIMAL_FILTERED_SPI1	334	2825	101	TIPARP,AIF1L,NEK2,BMF,NEK8,SDF2L1,LY86,CIITA,LCP1,FYN,CCDC102A,APOBEC3B,SYK,PGGT1B,IL6R,LPXN,ELF1,POLD4,CYTH4,HMOX1,IFIH1,ZEB1,ADCY7,FGD2,THG1L,ANKRD13A,CSK,SLC35B2,TRAF3IP3,RPS6KA1,HLA-B,MLEC,RAB8A,VAV1,CASP8,OAS1,DDAH2,DNASE2,LPIN1,UGT8,LYN,C20ORF24,ELOVL1,EMP3,HLA-DMA,HLA-DMB,UCP2,PSMB8,NCF2,NCF4,MAPKAPK2,ISG20L2,NFKB1,MYD88,BIRC3,PPM1M,PTPN6,ENTPD1,PTTG1IP,SNX8,RPL27A,ID3,CTSZ,CTSS,CD38,CD37,CD53,LAT2,NEDD9,CCT5,CD74,CD68,CD86,OSTF1,ACAA1,TOR1AIP2,PHF19,IRF7,IRF5,BCL2A1,RAN,GSDMD,TMEM168,LAPTM5,LSM2,LSP1,GM2A,RPL36A,B2M,SP110,TREX1,PARP10,CLIC1,RHOC,RANBP1,TRIP10,MPEG1,NFKBIE,DOCK8,SASH3,ALOX5AP	1.7977796619151079	8.321499516374547E-10	1.19621555547884e-08
Cluster_5	TF_TG_PROXIMAL_FILTERED_STAT3	239	2825	77	NUP107,C12ORF71,PLSCR1,ODC1,CD274,SHC1,LCN2,TNFRSF1A,ST5,ICAM1,TRIM25,TRIB1,DHRS13,IL4R,PLD1,TNFAIP8,ETV6,NAMPT,CFB,SAMSN1,BTG1,C1QTNF1,G0S2,LEPROT,KIAA0586,PARP9,LIMA1,SVIL,PMF1,CASP4,AIM2,POC1A,GBP2,IQGAP1,VWA5A,STAT2,STAT3,SOCS3,SBNO2,NPC1,DTL,BIRC3,FCGR2A,TM4SF1,KIF20A,ICK,INTS7,HSCB,CTSE,OSMR,HEATR1,DDX59,IRF1,IRF9,MVP,MIIP,MYC,RPL35,S100A10,GSDMD,CDC7,IFNGR1,TMEM173,ZFP36,F2R,TARS,DTX3L,SEMA4B,KLF6,CHEK2,TJP2,CKS1B,NFKBIZ,HSPD1,STOM,HSPE1,GNPDA1	1.9153774947235904	4.5352295912123146E-9	5.79501558877129e-08
Cluster_5	TF_TG_PROXIMAL_FILTERED_BCL3	174	2825	60	DDIT3,LARP7,AIF1L,MOV10,NEK8,SDF2L1,NEK6,CDC45,HNRNPA1,HNRNPAB,EIF3G,PPAN,ACTB,CRKL,TLCD1,PTMA,HNRNPA2B1,POLG2,SLC3A2,RAB34,MCM7,RPL13A,POLR1C,SLC35B2,RPS11,SCFD1,TOP3B,TUBB,PMF1,CBX3,DDAH2,MDC1,VEZF1,PTPN6,P4HB,EIF4A1,RCC1,SNX5,RPL27A,KIF2C,CD74,CD68,PHF19,MAT2A,RPL36,RPL38,RPL37,PYCARD,RPS6,RPSA,MPDU1,TRAF4,PFN1,CLIC1,RANBP1,ZFP36L1,HSPA5,HIST1H1D,HIST1H1B,HIST1H1C	2.0500457735733906	1.596124195939661E-8	1.83554282533061e-07
